Output Areas Code,Output Areas,Observation
E00020531,E00020531,9339.9
E00020532,E00020532,8292.7
E00020533,E00020533,10405.4
E00020534,E00020534,2039.9
E00020535,E00020535,1145
E00020536,E00020536,161.7
E00020537,E00020537,5287
E00020538,E00020538,2870.8
E00020539,E00020539,6791.2
E00020540,E00020540,9841.3
E00020541,E00020541,8973.1
E00020542,E00020542,4668.5
E00020543,E00020543,10459.4
E00020544,E00020544,10072.2
E00020545,E00020545,6308.5
E00020546,E00020546,7239
E00020547,E00020547,318.4
E00020548,E00020548,4793
E00020549,E00020549,6174.1
E00020550,E00020550,7263.6
E00020551,E00020551,5739.8
E00020552,E00020552,5849.1
E00020553,E00020553,3633.4
E00020554,E00020554,4182.3
E00020555,E00020555,4893.6
E00020556,E00020556,6954
E00020557,E00020557,6917.4
E00020558,E00020558,7644.5
E00020559,E00020559,8133.8
E00020560,E00020560,9432.8
E00020561,E00020561,9209.4
E00020562,E00020562,11877.6
E00020563,E00020563,2860.3
E00020565,E00020565,14615.4
E00020566,E00020566,16906.5
E00020567,E00020567,16233.8
E00020568,E00020568,1829.5
E00020569,E00020569,2493.9
E00020570,E00020570,10173.4
E00020571,E00020571,11968.5
E00020572,E00020572,4993.7
E00020573,E00020573,18020.3
E00020574,E00020574,9223
E00020575,E00020575,15734.6
E00020576,E00020576,4383.7
E00020577,E00020577,1887.7
E00020578,E00020578,9683.5
E00020579,E00020579,3188.1
E00020580,E00020580,2404.5
E00020581,E00020581,11288.1
E00020582,E00020582,10888.9
E00020583,E00020583,3635.4
E00020584,E00020584,10615.9
E00020585,E00020585,1215.7
E00020586,E00020586,4534.1
E00020587,E00020587,1478.3
E00020588,E00020588,4509
E00020589,E00020589,4165.6
E00020590,E00020590,3858.2
E00020591,E00020591,4020.9
E00020592,E00020592,2662.6
E00020593,E00020593,1701.4
E00020594,E00020594,4985.4
E00020595,E00020595,5863.7
E00020596,E00020596,3822.7
E00020597,E00020597,4449.3
E00020598,E00020598,10436.2
E00020599,E00020599,8033.9
E00020600,E00020600,3604.5
E00020601,E00020601,13504.3
E00020602,E00020602,8758
E00020603,E00020603,10640
E00020604,E00020604,2084.1
E00020605,E00020605,13986.9
E00020606,E00020606,10483.9
E00020607,E00020607,5480.6
E00020608,E00020608,14594.6
E00020609,E00020609,2805.3
E00020610,E00020610,14945.7
E00020611,E00020611,3057
E00020612,E00020612,3432.7
E00020613,E00020613,9214
